window_size,feature_variance,mean_scoring,std_scoring,top_features,is_optimal,Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,LGBMClassifier,0.65,0.6499999999999999,0.6499999999999999,0.6491228070175439,0.08565092086791992
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,NearestCentroid,0.55,0.55,0.55,0.52,0.012913942337036133
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,AdaBoostClassifier,0.55,0.55,0.5499999999999999,0.5396419437340153,0.10672903060913086
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,BernoulliNB,0.55,0.55,0.5499999999999999,0.5488721804511277,0.01238703727722168
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.01322793960571289
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,ExtraTreeClassifier,0.5,0.5,0.5,0.5,0.019588708877563477
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,SGDClassifier,0.5,0.5,0.49999999999999994,0.4791666666666667,0.014914274215698242
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,RidgeClassifierCV,0.5,0.5,0.5,0.45054945054945056,0.015140056610107422
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,RidgeClassifier,0.5,0.5,0.5,0.45054945054945056,0.01822209358215332
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,RandomForestClassifier,0.5,0.5,0.5,0.494949494949495,0.13297176361083984
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,LinearDiscriminantAnalysis,0.5,0.5,0.5,0.45054945054945056,0.02625894546508789
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,BaggingClassifier,0.5,0.5,0.5,0.494949494949495,0.038012027740478516
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,QuadraticDiscriminantAnalysis,0.5,0.5,0.5,0.5,0.011288166046142578
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,PassiveAggressiveClassifier,0.45,0.45,0.44999999999999996,0.44862155388471175,0.016705989837646484
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,XGBClassifier,0.45,0.45,0.44999999999999996,0.44862155388471175,0.11666202545166016
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,LinearSVC,0.45,0.44999999999999996,0.44999999999999996,0.4133333333333334,0.013324975967407227
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,LogisticRegression,0.45,0.44999999999999996,0.44999999999999996,0.4133333333333334,0.015021800994873047
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,GaussianNB,0.45,0.44999999999999996,0.44999999999999996,0.4133333333333334,0.01341104507446289
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,ExtraTreesClassifier,0.4,0.4,0.4,0.375,0.09808778762817383
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,CalibratedClassifierCV,0.4,0.4,0.4,0.375,0.03400111198425293
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,DecisionTreeClassifier,0.35,0.35,0.35,0.3483709273182957,0.011169910430908203
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,Perceptron,0.35,0.35,0.35,0.3483709273182957,0.01229405403137207
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,LabelSpreading,0.35,0.35,0.35,0.3350383631713555,0.012650012969970703
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,LabelPropagation,0.35,0.35,0.35,0.3350383631713555,0.015720129013061523
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,KNeighborsClassifier,0.3,0.30000000000000004,0.3,0.29292929292929293,0.0218508243560791
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,SVC,0.3,0.3,0.30000000000000004,0.3,0.013912200927734375
5,0.08190503429898885,0.5579151515151516,0.09068074072871404,"feature_5, feature_6, feature_0",Yes,NuSVC,0.25,0.25,0.25,0.24812030075187969,0.011895179748535156
10,0.08415805101084148,0.4954166666666666,0.12432368949609497,"feature_9, feature_5, feature_6",No,ExtraTreesClassifier,0.6,0.5858585858585859,0.5858585858585859,0.5916666666666666,0.09987998008728027
10,0.08415805101084148,0.4954166666666666,0.12432368949609497,"feature_9, feature_5, feature_6",No,NuSVC,0.55,0.5606060606060606,0.5606060606060606,0.5466165413533834,0.011886835098266602
10,0.08415805101084148,0.4954166666666666,0.12432368949609497,"feature_9, feature_5, feature_6",No,BernoulliNB,0.55,0.5202020202020202,0.5202020202020202,0.5051282051282051,0.012609004974365234
