Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,window_size
SVC,0.6354941551540914,0.63465151777069,0.63465151777069,0.6348749359780629,3.263577938079834,-1
LogisticRegression,0.6349628055260361,0.6343345976243983,0.6343345976243983,0.6346199019761466,0.023890018463134766,-1
NearestCentroid,0.6344314558979809,0.6342888391006021,0.6342888391006022,0.6344393031981639,0.018977880477905273,-1
AdaBoostClassifier,0.6339001062699257,0.633813741341188,0.6338137413411881,0.6339239902056221,0.38289713859558105,-1
LinearDiscriminantAnalysis,0.6344314558979809,0.6337917094593603,0.6337917094593603,0.634075318178506,0.034921884536743164,-1
RidgeClassifier,0.6344314558979809,0.6337917094593603,0.6337917094593603,0.634075318178506,0.02333688735961914,-1
RidgeClassifierCV,0.6339001062699257,0.6332488212943223,0.6332488212943223,0.6335304888486774,0.021239042282104492,-1
CalibratedClassifierCV,0.6339001062699257,0.6332488212943223,0.6332488212943223,0.6335304888486774,0.07601499557495117,-1
LinearSVC,0.6339001062699257,0.6332488212943223,0.6332488212943223,0.6335304888486774,0.038001060485839844,-1
GaussianNB,0.6333687566418703,0.6328641107424067,0.6328641107424067,0.6331510805358976,0.01554417610168457,-1
QuadraticDiscriminantAnalysis,0.6232731137088204,0.622707413219807,0.622707413219807,0.6229934687815917,0.01979994773864746,-1
LGBMClassifier,0.6211477151965994,0.620535860559655,0.620535860559655,0.6208175826905237,0.15424585342407227,-1
SGDClassifier,0.6179596174282678,0.618498758870657,0.6184987588706572,0.6178033014809231,0.03269219398498535,-1
RandomForestClassifier,0.6174282678002125,0.6170519986306338,0.6170519986306339,0.6173153956464504,1.46089506149292,-1
ExtraTreesClassifier,0.6153028692879915,0.6148578491686072,0.6148578491686072,0.6151358473771542,0.7514538764953613,-1
BernoulliNB,0.6137088204038257,0.6130032166547469,0.6130032166547469,0.6132619086947958,0.018939971923828125,-1
XGBClassifier,0.6099893730074389,0.6094063707163525,0.6094063707163525,0.6096876127090997,0.17325997352600098,-1
Perceptron,0.6046758767268863,0.6046327963203368,0.6046327963203367,0.6047133869369937,0.021146297454833984,-1
NuSVC,0.5887353878852285,0.5878264249260803,0.5878264249260802,0.5879601702316659,15.520696878433228,-1
BaggingClassifier,0.577577045696068,0.5786628568458706,0.5786628568458706,0.5765917570356324,0.4923889636993408,-1
PassiveAggressiveClassifier,0.5701381509032943,0.5736610547509211,0.5736610547509211,0.558320067679921,0.02841806411743164,-1
KNeighborsClassifier,0.5738575982996812,0.5732808635593805,0.5732808635593805,0.5735544200025089,0.16075897216796875,-1
ExtraTreeClassifier,0.5637619553666312,0.5635083116686496,0.5635083116686496,0.5637342275811655,0.0211489200592041,-1
LabelPropagation,0.5600425079702445,0.5601374337490015,0.5601374337490016,0.5600877244654408,1.4921879768371582,-1
LabelSpreading,0.5595111583421891,0.5594815615745903,0.5594815615745904,0.5595578031794711,2.440310001373291,-1
DecisionTreeClassifier,0.5403825717321998,0.5402765396613418,0.5402765396613417,0.5404187859661488,0.08420181274414062,-1
DummyClassifier,0.5106269925611052,0.5,0.5,0.3452075552945636,0.012479782104492188,-1
SGDClassifier,0.5835189309576837,0.595139239344864,0.595139239344864,0.5980849038367807,0.01709890365600586,30
DecisionTreeClassifier,0.5946547884187082,0.5711107033077947,0.5711107033077946,0.6058844280591311,0.020231962203979492,30
NearestCentroid,0.5567928730512249,0.5699178786071477,0.5699178786071478,0.5721756968643685,0.015806913375854492,30
GaussianNB,0.6258351893095768,0.5655250722576501,0.5655250722576501,0.6251157741467176,0.015045166015625,30
LinearDiscriminantAnalysis,0.6481069042316259,0.5647795568197458,0.5647795568197458,0.635522083657428,0.012953042984008789,30
LogisticRegression,0.6458797327394209,0.5612584300591825,0.5612584300591824,0.6326944844391772,0.02461695671081543,30
RidgeClassifierCV,0.6481069042316259,0.560994632288847,0.560994632288847,0.6334099370342875,0.02350473403930664,30
RidgeClassifier,0.6481069042316259,0.560994632288847,0.560994632288847,0.6334099370342875,0.021458864212036133,30
