algorithm,params,silhouette_score,davies_bouldin_score,calinski_harabasz_score,average_distance_to_centroid,visualization_paths,detailed_metrics_path
kmeans,"{'n_clusters': 2, 'random_state': 42}",0.35834425572507894,1.1633089620466963,60.5165794646127,1.0167092813245215,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",/Users/thchen/Documents/vscode/ml_model/results/clustering_analysis/detailed/20240930_202904/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 3, 'random_state': 42}",0.4004951920454548,0.794453773334778,82.40690467643573,0.7535187790380834,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",/Users/thchen/Documents/vscode/ml_model/results/clustering_analysis/detailed/20240930_202904/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 4, 'random_state': 42}",0.4251100911359034,0.7565230376461715,103.36162410069045,0.632693184653951,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",/Users/thchen/Documents/vscode/ml_model/results/clustering_analysis/detailed/20240930_202904/kmeans_detailed_metrics.json
