play_type,window_size,feature_variance,regression_results,Model,is_optimal,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
fts,5,0.08761728116274961,"{'logistic_regression': {'mean_roc_auc': 0.4472727272727273, 'std_roc_auc': 0.11118528286515032}, 'feature_importance_logistic':      feature  importance
1  feature_1        0.98
9  feature_9        0.58
0  feature_0        0.40
4  feature_4        0.09
3  feature_3        0.08
7  feature_7        0.08
5  feature_5        0.07
2  feature_2        0.05
8  feature_8        0.05
6  feature_6        0.01}",KNeighborsClassifier,Yes,0.65,0.6515151515151515,0.6515151515151516,0.6508771929824562,0.017049074172973633
fts,5,0.08761728116274961,"{'logistic_regression': {'mean_roc_auc': 0.4472727272727273, 'std_roc_auc': 0.11118528286515032}, 'feature_importance_logistic':      feature  importance
1  feature_1        0.98
9  feature_9        0.58
0  feature_0        0.40
4  feature_4        0.09
3  feature_3        0.08
7  feature_7        0.08
5  feature_5        0.07
2  feature_2        0.05
8  feature_8        0.05
6  feature_6        0.01}",BaggingClassifier,Yes,0.6,0.6161616161616161,0.6161616161616161,0.591919191919192,0.03354024887084961
fts,5,0.08761728116274961,"{'logistic_regression': {'mean_roc_auc': 0.4472727272727273, 'std_roc_auc': 0.11118528286515032}, 'feature_importance_logistic':      feature  importance
1  feature_1        0.98
9  feature_9        0.58
0  feature_0        0.40
4  feature_4        0.09
3  feature_3        0.08
7  feature_7        0.08
5  feature_5        0.07
2  feature_2        0.05
8  feature_8        0.05
6  feature_6        0.01}",LGBMClassifier,Yes,0.6,0.606060606060606,0.6060606060606062,0.6,0.06561803817749023
fts,5,0.08761728116274961,"{'logistic_regression': {'mean_roc_auc': 0.4472727272727273, 'std_roc_auc': 0.11118528286515032}, 'feature_importance_logistic':      feature  importance
1  feature_1        0.98
9  feature_9        0.58
0  feature_0        0.40
4  feature_4        0.09
3  feature_3        0.08
7  feature_7        0.08
5  feature_5        0.07
2  feature_2        0.05
8  feature_8        0.05
6  feature_6        0.01}",CalibratedClassifierCV,Yes,0.6,0.595959595959596,0.5959595959595959,0.6,0.03360795974731445
fts,5,0.08761728116274961,"{'logistic_regression': {'mean_roc_auc': 0.4472727272727273, 'std_roc_auc': 0.11118528286515032}, 'feature_importance_logistic':      feature  importance
1  feature_1        0.98
9  feature_9        0.58
0  feature_0        0.40
4  feature_4        0.09
3  feature_3        0.08
7  feature_7        0.08
5  feature_5        0.07
2  feature_2        0.05
8  feature_8        0.05
6  feature_6        0.01}",NuSVC,Yes,0.55,0.5606060606060606,0.5606060606060607,0.5466165413533834,0.01204991340637207
fts,5,0.08761728116274961,"{'logistic_regression': {'mean_roc_auc': 0.4472727272727273, 'std_roc_auc': 0.11118528286515032}, 'feature_importance_logistic':      feature  importance
1  feature_1        0.98
9  feature_9        0.58
0  feature_0        0.40
4  feature_4        0.09
3  feature_3        0.08
7  feature_7        0.08
5  feature_5        0.07
2  feature_2        0.05
8  feature_8        0.05
6  feature_6        0.01}",SVC,Yes,0.55,0.5505050505050505,0.5505050505050505,0.5511278195488721,0.01495504379272461
fts,5,0.08761728116274961,"{'logistic_regression': {'mean_roc_auc': 0.4472727272727273, 'std_roc_auc': 0.11118528286515032}, 'feature_importance_logistic':      feature  importance
1  feature_1        0.98
9  feature_9        0.58
0  feature_0        0.40
4  feature_4        0.09
3  feature_3        0.08
7  feature_7        0.08
5  feature_5        0.07
2  feature_2        0.05
8  feature_8        0.05
6  feature_6        0.01}",QuadraticDiscriminantAnalysis,Yes,0.55,0.5505050505050505,0.5505050505050505,0.5511278195488721,0.013728141784667969
fts,5,0.08761728116274961,"{'logistic_regression': {'mean_roc_auc': 0.4472727272727273, 'std_roc_auc': 0.11118528286515032}, 'feature_importance_logistic':      feature  importance
1  feature_1        0.98
9  feature_9        0.58
0  feature_0        0.40
4  feature_4        0.09
3  feature_3        0.08
7  feature_7        0.08
5  feature_5        0.07
2  feature_2        0.05
8  feature_8        0.05
6  feature_6        0.01}",PassiveAggressiveClassifier,Yes,0.55,0.5404040404040404,0.5404040404040403,0.5465473145780051,0.013908147811889648
fts,5,0.08761728116274961,"{'logistic_regression': {'mean_roc_auc': 0.4472727272727273, 'std_roc_auc': 0.11118528286515032}, 'feature_importance_logistic':      feature  importance
1  feature_1        0.98
9  feature_9        0.58
0  feature_0        0.40
4  feature_4        0.09
3  feature_3        0.08
7  feature_7        0.08
5  feature_5        0.07
2  feature_2        0.05
8  feature_8        0.05
6  feature_6        0.01}",LinearDiscriminantAnalysis,Yes,0.55,0.5303030303030303,0.5303030303030303,0.532,0.013251066207885742
fts,5,0.08761728116274961,"{'logistic_regression': {'mean_roc_auc': 0.4472727272727273, 'std_roc_auc': 0.11118528286515032}, 'feature_importance_logistic':      feature  importance
1  feature_1        0.98
9  feature_9        0.58
0  feature_0        0.40
4  feature_4        0.09
3  feature_3        0.08
7  feature_7        0.08
5  feature_5        0.07
2  feature_2        0.05
8  feature_8        0.05
6  feature_6        0.01}",RidgeClassifierCV,Yes,0.55,0.5303030303030303,0.5303030303030303,0.532,0.014029741287231445
