play_type,window_size,feature_variance,regression_results,Model,is_optimal,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",ExtraTreesClassifier,No,0.7,0.6767676767676767,0.6767676767676768,0.6802197802197802,0.1030430793762207
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",DecisionTreeClassifier,No,0.6,0.6161616161616161,0.6161616161616161,0.591919191919192,0.012086153030395508
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",KNeighborsClassifier,No,0.6,0.5858585858585859,0.5858585858585859,0.5916666666666666,0.017519712448120117
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",SGDClassifier,No,0.6,0.5656565656565656,0.5656565656565656,0.5428571428571429,0.013144731521606445
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",XGBClassifier,No,0.55,0.5505050505050505,0.5505050505050505,0.5511278195488721,0.06273317337036133
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",AdaBoostClassifier,No,0.55,0.5404040404040404,0.5404040404040403,0.5465473145780051,0.11262297630310059
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",PassiveAggressiveClassifier,No,0.55,0.5404040404040404,0.5404040404040403,0.5465473145780051,0.017933130264282227
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",BaggingClassifier,No,0.5,0.5050505050505051,0.5050505050505051,0.5,0.036579132080078125
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",DummyClassifier,No,0.55,0.5,0.5,0.3903225806451613,0.011226892471313477
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",QuadraticDiscriminantAnalysis,No,0.5,0.4949494949494949,0.4949494949494949,0.5,0.012682914733886719
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",LabelSpreading,No,0.5,0.48484848484848486,0.48484848484848486,0.48958333333333337,0.012897968292236328
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",LabelPropagation,No,0.5,0.48484848484848486,0.48484848484848486,0.48958333333333337,0.014173030853271484
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",GaussianNB,No,0.45,0.43939393939393934,0.43939393939393945,0.44578005115089514,0.014114141464233398
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",ExtraTreeClassifier,No,0.45,0.43939393939393934,0.43939393939393945,0.44578005115089514,0.015033245086669922
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",NuSVC,No,0.45,0.43939393939393934,0.43939393939393945,0.44578005115089514,0.012948989868164062
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",SVC,No,0.45,0.4292929292929293,0.4292929292929293,0.42800000000000005,0.012874126434326172
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",CalibratedClassifierCV,No,0.45,0.4292929292929293,0.4292929292929293,0.42800000000000005,0.0381770133972168
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",NearestCentroid,No,0.4,0.40404040404040403,0.4040404040404041,0.4,0.01323390007019043
fts,5,0.08095218310052461,"{'logistic_regression': {'mean_roc_auc': 0.5079419191919192, 'std_roc_auc': 0.13906668142830358}, 'feature_importance_logistic':      feature  importance
8  feature_8        0.97
5  feature_5        0.65
6  feature_6        0.61
3  feature_3        0.55
7  feature_7        0.43
1  feature_1        0.43
4  feature_4        0.41
0  feature_0        0.20
9  feature_9        0.19
2  feature_2        0.15}",RandomForestClassifier,No,0.4,0.3939393939393939,0.3939393939393939,0.4,0.1391739845275879
