n_bins,chi_square,chi_square_p_value,gini_index,mse_between_bins,information_gain,ks_statistic,mutual_info
3,1000.0,7.124576406741474e-218,0.43080799999999997,0.655363151994492,0.8977369397259967,1.0,0.6222638287869877
4,1000.0,7.124576406741474e-218,0.43080799999999997,0.655363151994492,0.8977369397259967,1.0,0.6222638287869877
5,1000.0,7.124576406741474e-218,0.43080799999999997,0.655363151994492,0.8977369397259967,1.0,0.6222638287869877
6,1000.0,7.124576406741474e-218,0.43080799999999997,0.655363151994492,0.8977369397259967,1.0,0.6222638287869877
7,1000.0,7.124576406741474e-218,0.43080799999999997,0.655363151994492,0.8977369397259967,1.0,0.6222638287869877
8,1000.0,7.124576406741474e-218,0.43080799999999997,0.655363151994492,0.8977369397259967,1.0,0.6222638287869877
9,1000.0,7.124576406741474e-218,0.43080799999999997,0.655363151994492,0.8977369397259967,1.0,0.6222638287869877
10,1000.0,7.124576406741474e-218,0.43080799999999997,0.655363151994492,0.8977369397259967,1.0,0.6222638287869877

Optimal Bin Summary:
Optimal Bins: 3.0
Highest Mutual Information: 0.6222638287869877
