window_size,feature_variance,mean_scoring,std_scoring,top_features,is_optimal,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.65,0.65,0.65,0.6266666666666666,0.013545989990234375
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.65,0.6499999999999999,0.65,0.6491228070175439,0.04332280158996582
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.6,0.6,0.6,0.5959595959595959,0.014705896377563477
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.55,0.55,0.55,0.5396419437340153,0.1109168529510498
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.55,0.55,0.5499999999999999,0.5396419437340153,0.019001007080078125
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.55,0.55,0.5499999999999999,0.5396419437340153,0.013732194900512695
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.55,0.55,0.5499999999999999,0.5396419437340153,0.019476890563964844
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.55,0.55,0.55,0.5488721804511277,0.014139175415039062
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.55,0.55,0.5499999999999999,0.5396419437340153,0.012236833572387695
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.5,0.5,0.49999999999999994,0.4791666666666667,0.06699395179748535
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.5,0.5,0.5,0.3333333333333333,0.012905120849609375
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.5,0.5,0.5,0.494949494949495,0.05954408645629883
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.5,0.5,0.5,0.494949494949495,0.013651132583618164
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.5,0.5,0.5,0.494949494949495,0.012140750885009766
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.5,0.5,0.5,0.494949494949495,0.015372991561889648
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.5,0.5,0.5,0.494949494949495,0.011837005615234375
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.5,0.5,0.5,0.494949494949495,0.011881113052368164
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.45,0.45,0.44999999999999996,0.44862155388471175,0.015687942504882812
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.45,0.45,0.45000000000000007,0.44862155388471175,0.012614011764526367
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.45,0.44999999999999996,0.45,0.4373401534526854,0.011770009994506836
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.45,0.44999999999999996,0.44999999999999996,0.4133333333333334,0.011984109878540039
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.4,0.4,0.4,0.3939393939393939,0.09790992736816406
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.4,0.4,0.4,0.3939393939393939,0.03537702560424805
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.35,0.35,0.35,0.3483709273182957,0.13157892227172852
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.35,0.35,0.35,0.3483709273182957,0.013253211975097656
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.35,0.35,0.35,0.3483709273182957,0.012349128723144531
5,0.08450533011520328,0.6272565656565656,0.11143659830271878,"feature_6, feature_7, feature_4",No,0.35,0.35,0.35,0.3350383631713555,0.019215106964111328
10,0.08209600406414341,0.5695959595959595,0.11857906397773312,"feature_7, feature_1, feature_0",Yes,0.75,0.7916666666666667,0.7916666666666667,0.7468671679197995,0.04304695129394531
10,0.08209600406414341,0.5695959595959595,0.11857906397773312,"feature_7, feature_1, feature_0",Yes,0.7,0.7083333333333333,0.7083333333333334,0.7030303030303029,0.04404878616333008
