algorithm,params,silhouette_score,davies_bouldin_score,calinski_harabasz_score,average_distance_to_centroid,visualization_paths,detailed_metrics_path
kmeans,"{'n_clusters': 3, 'random_state': 42}",0.4131271703776451,0.7946536532405615,81.65288850032123,0.2274267636635259,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 4, 'random_state': 42}",0.473866241135387,0.6812523939228323,124.8953465478306,0.17934620709001525,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 2, 'random_state': 42}",0.3945855090208788,1.0491854910409113,70.0444373047435,0.2608409122901907,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 3, 'random_state': 42}",0.41128520153833603,0.8110156638722751,83.4856508373066,0.20847454952650643,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 4, 'random_state': 42}",0.44122154359780985,0.7344342459431055,109.72930842558036,0.1686087032377846,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 2, 'random_state': 42}",0.35574054914524594,1.1286459833641735,63.83210866053153,0.2921129996567275,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 3, 'random_state': 42}",0.3908774113546394,0.8674253065155932,79.55242239549364,0.22547733772045683,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 4, 'random_state': 42}",0.4019064464684737,0.7819237074353653,99.71181774646075,0.18953169581073187,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 2, 'random_state': 42}",0.4442820815990568,0.8816725537193519,96.38433944883128,0.24841996069689246,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
kmeans,"{'n_clusters': 3, 'random_state': 42}",0.452764318847808,0.8009930659311498,109.79516521956826,0.20178657561410462,"cluster_scatter,silhouette_plot,cluster_sizes,feature_importance,metrics_comparison",results/eda_clustering/kmeans_detailed_metrics.json
