window_size,feature_variance,mean_scoring,std_scoring,top_features,is_optimal,Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,LGBMClassifier,0.75,0.7727272727272727,0.7727272727272727,0.7404092071611255,0.08896517753601074
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,BernoulliNB,0.75,0.7525252525252526,0.7525252525252525,0.7506265664160401,0.014495372772216797
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,GaussianNB,0.75,0.7525252525252526,0.7525252525252525,0.7506265664160401,0.014856100082397461
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,BaggingClassifier,0.75,0.7424242424242424,0.7424242424242422,0.7480818414322251,0.03285622596740723
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,KNeighborsClassifier,0.7,0.7272727272727273,0.7272727272727273,0.68125,0.017814159393310547
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,XGBClassifier,0.7,0.7171717171717171,0.7171717171717171,0.693939393939394,0.09805488586425781
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,DecisionTreeClassifier,0.65,0.6616161616161615,0.6616161616161615,0.6473684210526315,0.013667106628417969
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,LinearDiscriminantAnalysis,0.65,0.6414141414141414,0.6414141414141414,0.6473145780051152,0.013264179229736328
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,RidgeClassifierCV,0.65,0.6414141414141414,0.6414141414141414,0.6473145780051152,0.032362937927246094
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,RidgeClassifier,0.65,0.6414141414141414,0.6414141414141414,0.6473145780051152,0.013991355895996094
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,LogisticRegression,0.65,0.6414141414141414,0.6414141414141414,0.6473145780051152,0.014183282852172852
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,LinearSVC,0.65,0.6414141414141414,0.6414141414141414,0.6473145780051152,0.01422429084777832
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,PassiveAggressiveClassifier,0.65,0.6313131313131313,0.6313131313131313,0.6359999999999999,0.012660980224609375
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,NuSVC,0.6,0.6262626262626263,0.6262626262626263,0.575,0.013535022735595703
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,NearestCentroid,0.6,0.606060606060606,0.606060606060606,0.6,0.013974189758300781
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,RandomForestClassifier,0.6,0.606060606060606,0.606060606060606,0.6,0.14784908294677734
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,ExtraTreesClassifier,0.55,0.5606060606060606,0.5606060606060606,0.5466165413533834,0.1189889907836914
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,SVC,0.55,0.5606060606060606,0.5606060606060606,0.5466165413533834,0.01299905776977539
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,AdaBoostClassifier,0.55,0.5606060606060606,0.5606060606060606,0.5466165413533834,0.10306406021118164
5,0.08474071256859492,0.5112565656565657,0.11331875914141339,"feature_1, feature_9, feature_5",Yes,QuadraticDiscriminantAnalysis,0.5,0.5353535353535354,0.5353535353535352,0.434065934065934,0.012917041778564453
