play_type,window_size,feature_variance,regression_results,Model,is_optimal,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",DecisionTreeClassifier,No,0.65,0.6499999999999999,0.6499999999999999,0.6491228070175439,0.011701107025146484
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",ExtraTreesClassifier,No,0.6,0.6,0.5999999999999999,0.5959595959595959,0.09871530532836914
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",AdaBoostClassifier,No,0.55,0.55,0.55,0.5488721804511277,0.10297679901123047
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",SGDClassifier,No,0.55,0.55,0.5499999999999999,0.5488721804511277,0.014277935028076172
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",PassiveAggressiveClassifier,No,0.55,0.55,0.5499999999999999,0.5396419437340153,0.014227867126464844
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",BaggingClassifier,No,0.55,0.55,0.5499999999999999,0.5396419437340153,0.03289794921875
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",LGBMClassifier,No,0.55,0.55,0.5499999999999999,0.5488721804511277,0.05465221405029297
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",LabelPropagation,No,0.5,0.5,0.5,0.494949494949495,0.012508153915405273
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",LabelSpreading,No,0.5,0.5,0.5,0.494949494949495,0.012639999389648438
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",DummyClassifier,No,0.5,0.5,0.5,0.3333333333333333,0.010815858840942383
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",Perceptron,No,0.5,0.5,0.49999999999999994,0.4791666666666667,0.012953996658325195
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",ExtraTreeClassifier,No,0.45,0.45,0.45000000000000007,0.44862155388471175,0.012871026992797852
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",NuSVC,No,0.45,0.45,0.45000000000000007,0.44862155388471175,0.011950016021728516
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",XGBClassifier,No,0.45,0.45,0.45000000000000007,0.44862155388471175,0.04479098320007324
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",RandomForestClassifier,No,0.45,0.45,0.44999999999999996,0.44862155388471175,0.13450121879577637
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",QuadraticDiscriminantAnalysis,No,0.45,0.45,0.44999999999999996,0.44862155388471175,0.011593818664550781
fts,5,0.08626262988972236,"{'logistic_regression': {'mean_roc_auc': 0.473010101010101, 'std_roc_auc': 0.11943794160870709}, 'feature_importance_logistic':      feature  importance
6  feature_6        0.70
2  feature_2        0.61
9  feature_9        0.60
8  feature_8        0.33
4  feature_4        0.29
7  feature_7        0.28
0  feature_0        0.27
1  feature_1        0.20
3  feature_3        0.19
5  feature_5        0.04}",CalibratedClassifierCV,No,0.45,0.45,0.45000000000000007,0.3732193732193732,0.03256797790527344
